Country,Area,Bedrooms,AssumedSizeSqm,CityCount,MedianMonthlyRentUSD,MedianPricePerSqmUSD,MedianEstimatedPurchasePriceUSD,MedianGrossRentalYieldPct
Indonesia,City Centre,3,110,1,1156.52,3011.6,331276.0,4.1893
Indonesia,Outside of Centre,1,50,1,197.8,1452.22,72611.0,3.2689
Indonesia,Outside of Centre,3,110,1,564.66,1452.22,159744.2,4.2417
Iran,City Centre,1,50,1,421.88,1274.44,63722.0,7.9448
Iran,City Centre,3,110,1,978.46,1274.44,140188.4,8.3755
Iran,Outside of Centre,1,50,1,251.67,725.37,36268.5,8.3269
Iran,Outside of Centre,3,110,1,622.5,725.37,79790.7,9.362
Iraq,City Centre,1,50,1,575.06,4669.0,233450.0,2.956
Iraq,City Centre,3,110,1,946.19,4669.0,513590.0,2.2108
Iraq,Outside of Centre,1,50,1,351.66,1584.03,79201.5,5.3281
Iraq,Outside of Centre,3,110,1,680.9,1584.03,174243.3,4.6893
Ireland,City Centre,1,50,2,2346.86,7110.64,355531.75,8.5488
Ireland,City Centre,3,110,2,3910.52,7110.64,782169.85,6.3002
Ireland,Outside of Centre,1,50,2,2044.25,4488.95,224447.75,11.6471
Ireland,Outside of Centre,3,110,2,3170.82,4488.95,493785.05,8.2049
Israel,City Centre,1,50,3,1893.69,20318.6,1015930.0,2.6132
Israel,City Centre,3,110,3,3704.6,20318.6,2235046.0,1.9793
Israel,Outside of Centre,1,50,3,1300.24,9130.09,456504.5,3.1335
Israel,Outside of Centre,3,110,3,1919.22,9130.09,1004309.9,2.2212
Italy,City Centre,1,50,20,897.13,3791.69,189584.75,5.7268
Italy,City Centre,3,110,20,1661.42,3791.69,417086.45,4.5431
Italy,Outside of Centre,1,50,20,672.86,2259.14,112957.25,6.6154
Italy,Outside of Centre,3,110,20,1131.29,2259.14,248505.95,5.1185
Japan,City Centre,1,50,1,1255.84,8727.49,436374.5,3.4535
Japan,City Centre,3,110,1,2473.88,8727.49,960023.9,3.0923
Japan,Outside of Centre,1,50,1,678.66,4200.9,210045.0,3.8772
Japan,Outside of Centre,3,110,1,1368.71,4200.9,462099.0,3.5543
Jordan,City Centre,1,50,1,463.25,1615.59,80779.5,6.8817
Jordan,City Centre,3,110,1,764.2,1615.59,177714.9,5.1602
Jordan,Outside of Centre,1,50,1,244.77,1019.28,50964.0,5.7634
Jordan,Outside of Centre,3,110,1,420.78,1019.28,112120.8,4.5035
Kazakhstan,City Centre,1,50,2,689.86,2053.38,102668.75,8.1967
Kazakhstan,City Centre,3,110,2,1314.48,2053.38,225871.25,7.1884
Kazakhstan,Outside of Centre,1,50,2,450.77,1329.04,66452.0,8.1603
Kazakhstan,Outside of Centre,3,110,2,850.23,1329.04,146194.4,7.0341
Kenya,City Centre,1,50,1,429.78,1321.19,66059.5,7.8071
Kenya,City Centre,3,110,1,1134.96,1321.19,145330.9,9.3714
Kenya,Outside of Centre,1,50,1,217.33,900.47,45023.5,5.7924
Kenya,Outside of Centre,3,110,1,503.87,900.47,99051.7,6.1043
Kosovo,City Centre,1,50,1,395.98,2628.59,131429.5,3.6154
Kosovo,City Centre,3,110,1,672.14,2628.59,289144.9,2.7895
Kosovo,Outside of Centre,1,50,1,287.74,1478.54,73927.0,4.6707
Kosovo,Outside of Centre,3,110,1,506.28,1478.54,162639.4,3.7355
Kuwait,City Centre,1,50,1,929.03,5293.6,264680.0,4.212
Kuwait,City Centre,3,110,1,1998.56,5293.6,582296.0,4.1186
Kuwait,Outside of Centre,1,50,1,638.51,2378.15,118907.5,6.4438
Kuwait,Outside of Centre,3,110,1,1341.94,2378.15,261596.5,6.1558
Kyrgyzstan,City Centre,1,50,1,591.59,1778.75,88937.5,7.9821
Kyrgyzstan,City Centre,3,110,1,1079.47,1778.75,195662.5,6.6204
Kyrgyzstan,Outside of Centre,1,50,1,408.13,1204.45,60222.5,8.1324
Kyrgyzstan,Outside of Centre,3,110,1,704.97,1204.45,132489.5,6.3851
Latvia,City Centre,1,50,1,590.64,3124.5,156225.0,4.5368
Latvia,City Centre,3,110,1,1173.21,3124.5,343695.0,4.0962
Latvia,Outside of Centre,1,50,1,392.61,2196.84,109842.0,4.2892
Latvia,Outside of Centre,3,110,1,735.98,2196.84,241652.4,3.6547
Lebanon,City Centre,1,50,1,943.8,3975.56,198778.0,5.6976
Lebanon,City Centre,3,110,1,2212.73,3975.56,437311.6,6.0718
Lebanon,Outside of Centre,1,50,1,496.22,1834.56,91728.0,6.4916
Lebanon,Outside of Centre,3,110,1,1071.2,1834.56,201801.6,6.3698
Lithuania,City Centre,1,50,3,656.41,3742.98,187149.0,4.2089
Lithuania,City Centre,3,110,3,977.01,3742.98,411727.8,2.8131
Lithuania,Outside of Centre,1,50,3,467.63,2443.12,122156.0,4.5938
Lithuania,Outside of Centre,3,110,3,689.65,2443.12,268743.2,3.3062
Luxembourg,City Centre,1,50,1,2266.73,12810.79,640539.5,4.2465
Luxembourg,City Centre,3,110,1,3670.91,12810.79,1409186.9,3.126
Luxembourg,Outside of Centre,1,50,1,2028.85,8515.42,425771.0,5.7181
Luxembourg,Outside of Centre,3,110,1,3107.35,8515.42,936696.2,3.9808
Malaysia,City Centre,1,50,2,504.5,3133.67,156683.5,3.9884
Malaysia,City Centre,3,110,2,878.99,3133.67,344703.7,3.014
Malaysia,Outside of Centre,1,50,2,298.97,1290.37,64518.5,5.5023
Malaysia,Outside of Centre,3,110,2,520.72,1290.37,141940.7,4.3788
Malta,City Centre,1,50,1,1785.79,5485.75,274287.5,7.8128
Malta,City Centre,3,110,1,2976.31,5485.75,603432.5,5.9188
Malta,Outside of Centre,1,50,1,1240.76,3615.72,180786.0,8.2358
Malta,Outside of Centre,3,110,1,2429.51,3615.72,397729.2,7.3301
Mexico,City Centre,1,50,6,890.99,2803.44,140172.25,6.8387
Mexico,City Centre,3,110,6,1639.87,2803.44,308378.95,5.9971
Mexico,Outside of Centre,1,50,6,550.22,1673.23,83661.5,8.4287
Mexico,Outside of Centre,3,110,6,1029.71,1673.23,184055.3,7.0059
Moldova,City Centre,1,50,1,690.63,2696.19,134809.5,6.1476
Moldova,City Centre,3,110,1,1248.93,2696.19,296580.9,5.0533
Moldova,Outside of Centre,1,50,1,442.56,1952.49,97624.5,5.4399
Moldova,Outside of Centre,3,110,1,814.29,1952.49,214773.9,4.5497
Mongolia,City Centre,1,50,1,581.83,1930.56,96528.0,7.2331
Mongolia,City Centre,3,110,1,1665.47,1930.56,212361.6,9.4111
Mongolia,Outside of Centre,1,50,1,444.5,957.9,47895.0,11.1369
Mongolia,Outside of Centre,3,110,1,1001.46,957.9,105369.0,11.4052
Montenegro,City Centre,1,50,1,656.31,3125.19,156259.5,5.0402
Montenegro,City Centre,3,110,1,1321.86,3125.19,343770.9,4.6142
Montenegro,Outside of Centre,1,50,1,506.25,2336.43,116821.5,5.2002
Montenegro,Outside of Centre,3,110,1,988.28,2336.43,257007.3,4.6144
Morocco,City Centre,1,50,2,558.18,2155.84,107791.75,6.1996
Morocco,City Centre,3,110,2,1081.84,2155.84,237141.85,5.4836
Morocco,Outside of Centre,1,50,2,316.74,1238.72,61935.75,6.1159
Morocco,Outside of Centre,3,110,2,676.11,1238.72,136258.65,5.9741
Nepal,City Centre,1,50,1,221.51,2299.67,114983.5,2.3117
Nepal,City Centre,3,110,1,431.77,2299.67,252963.7,2.0482
Nepal,Outside of Centre,1,50,1,102.1,1327.62,66381.0,1.8457
Nepal,Outside of Centre,3,110,1,198.54,1327.62,146038.2,1.6314
Netherlands,City Centre,1,50,7,1914.43,6548.51,327425.5,6.3754
Netherlands,City Centre,3,110,7,2950.14,6548.51,720336.1,4.5305
Netherlands,Outside of Centre,1,50,7,1515.49,4916.8,245840.0,7.0634
Netherlands,Outside of Centre,3,110,7,2317.87,4916.8,540848.0,4.7019
New Zealand,City Centre,1,50,3,1236.2,6741.94,337097.0,4.4006
New Zealand,City Centre,3,110,3,2178.82,6741.94,741613.4,3.3592
New Zealand,Outside of Centre,1,50,3,1161.16,3631.79,181589.5,7.6733
New Zealand,Outside of Centre,3,110,3,1717.42,3631.79,399496.9,5.1587
Nigeria,City Centre,1,50,1,717.88,3222.72,161136.0,5.3461
Nigeria,City Centre,3,110,1,2821.03,3222.72,354499.2,9.5493
Nigeria,Outside of Centre,1,50,1,420.82,1619.99,80999.5,6.2344
Nigeria,Outside of Centre,3,110,1,1514.26,1619.99,178198.9,10.1971
North Macedonia,City Centre,1,50,1,429.78,2726.14,136307.0,3.7836
North Macedonia,City Centre,3,110,1,741.53,2726.14,299875.4,2.9674
North Macedonia,Outside of Centre,1,50,1,334.94,1852.25,92612.5,4.3399
North Macedonia,Outside of Centre,3,110,1,513.05,1852.25,203747.5,3.0217
Norway,City Centre,1,50,4,1586.35,7134.31,356715.5,5.015
Norway,City Centre,3,110,4,2547.32,7134.31,784774.1,3.5084
Norway,Outside of Centre,1,50,4,1285.75,5202.83,260141.25,5.5597
Norway,Outside of Centre,3,110,4,1879.47,5202.83,572310.75,3.7907
Oman,City Centre,1,50,1,671.01,2840.65,142032.5,5.6692
Oman,City Centre,3,110,1,1355.02,2840.65,312471.5,5.2038
Oman,Outside of Centre,1,50,1,454.62,1621.31,81065.5,6.7297
Oman,Outside of Centre,3,110,1,842.14,1621.31,178344.1,5.6664
Pakistan,City Centre,1,50,4,181.24,1090.06,54502.75,4.0568
Pakistan,City Centre,3,110,4,387.18,1090.06,119906.05,3.996
Pakistan,Outside of Centre,1,50,4,83.21,555.64,27782.0,3.7448
Pakistan,Outside of Centre,3,110,4,212.75,555.64,61120.4,3.9323
Panama,City Centre,1,50,1,1315.0,3125.83,156291.5,10.0965
Panama,City Centre,3,110,1,2116.88,3125.83,343841.3,7.3879
Panama,Outside of Centre,1,50,1,912.89,1697.58,84879.0,12.9062
Panama,Outside of Centre,3,110,1,1464.17,1697.58,186733.8,9.4091
Paraguay,City Centre,1,50,1,611.96,1746.67,87333.5,8.4086
Paraguay,City Centre,3,110,1,1028.94,1746.67,192133.7,6.4264
Paraguay,Outside of Centre,1,50,1,370.03,1228.89,61444.5,7.2266
Paraguay,Outside of Centre,3,110,1,625.33,1228.89,135177.9,5.5512
Peru,City Centre,1,50,1,764.8,2450.44,122522.0,7.4906
Peru,City Centre,3,110,1,1248.07,2450.44,269548.4,5.5563
Peru,Outside of Centre,1,50,1,342.31,1385.44,69272.0,5.9298
Peru,Outside of Centre,3,110,1,653.96,1385.44,152398.4,5.1493
Philippines,City Centre,1,50,1,540.78,4397.87,219893.5,2.9511
Philippines,City Centre,3,110,1,1910.27,4397.87,483765.7,4.7385
Philippines,Outside of Centre,1,50,1,281.91,2515.35,125767.5,2.6898
Philippines,Outside of Centre,3,110,1,667.26,2515.35,276688.5,2.8939
Poland,City Centre,1,50,8,833.89,4151.29,207564.5,4.5545
Poland,City Centre,3,110,8,1345.66,4151.29,456641.9,3.7501
Poland,Outside of Centre,1,50,8,651.95,2869.5,143475.0,5.306
Poland,Outside of Centre,3,110,8,989.77,2869.5,315645.0,3.7809
Portugal,City Centre,1,50,3,1316.88,5239.33,261966.5,6.0323
Portugal,City Centre,3,110,3,2299.42,5239.33,576326.3,4.7877
Portugal,Outside of Centre,1,50,3,972.57,3929.69,196484.5,6.5291
Portugal,Outside of Centre,3,110,3,1672.75,3929.69,432265.9,4.9149
Qatar,City Centre,1,50,1,1960.32,4108.91,205445.5,11.4502
