Country,Area,Bedrooms,AssumedSizeSqm,CityCount,MedianMonthlyRentUSD,MedianPricePerSqmUSD,MedianEstimatedPurchasePriceUSD,MedianGrossRentalYieldPct
Tajikistan,City Centre,1,50,1,627.28,1295.35,64767.5,11.6221
Tajikistan,City Centre,3,110,1,880.15,1295.35,142488.5,7.4124
Tajikistan,Outside of Centre,1,50,1,352.34,703.89,35194.5,12.0135
Tajikistan,Outside of Centre,3,110,1,557.95,703.89,77427.9,8.6473
Thailand,City Centre,1,50,2,635.48,4336.65,216832.25,4.093
Thailand,City Centre,3,110,2,1763.78,4336.65,477030.95,5.0087
Thailand,Outside of Centre,1,50,2,367.78,2325.88,116294.25,4.4624
Thailand,Outside of Centre,3,110,2,759.37,2325.88,255847.35,4.1338
Tunisia,City Centre,1,50,1,376.74,1494.98,74749.0,6.0481
Tunisia,City Centre,3,110,1,597.33,1494.98,164447.8,4.3588
Tunisia,Outside of Centre,1,50,1,247.91,771.93,38596.5,7.7077
Tunisia,Outside of Centre,3,110,1,401.99,771.93,84912.3,5.681
Turkey,City Centre,1,50,5,734.58,2112.88,105644.0,8.344
Turkey,City Centre,3,110,5,1148.37,2112.88,232416.8,7.0048
Turkey,Outside of Centre,1,50,5,532.38,1309.19,65459.5,9.7596
Turkey,Outside of Centre,3,110,5,803.29,1309.19,144010.9,7.4061
Ukraine,City Centre,1,50,4,380.99,1396.28,69814.25,5.6072
Ukraine,City Centre,3,110,4,706.35,1396.28,153591.35,5.4039
Ukraine,Outside of Centre,1,50,4,233.21,828.46,41423.25,6.7502
Ukraine,Outside of Centre,3,110,4,440.23,828.46,91131.15,5.4369
United Arab Emirates,City Centre,1,50,2,2181.37,5991.81,299590.25,8.85
United Arab Emirates,City Centre,3,110,2,4227.45,5991.81,659098.55,7.8377
United Arab Emirates,Outside of Centre,1,50,2,1439.89,3413.24,170662.0,10.334
United Arab Emirates,Outside of Centre,3,110,2,2845.61,3413.24,375456.4,9.2879
United Kingdom,City Centre,1,50,15,1602.35,5413.82,270691.0,6.7528
United Kingdom,City Centre,3,110,15,2778.02,5413.82,595520.2,4.9561
United Kingdom,Outside of Centre,1,50,15,1192.72,4629.35,231467.5,6.3601
United Kingdom,Outside of Centre,3,110,15,1986.4,4629.35,509228.5,4.9528
United States,City Centre,1,50,66,1768.13,4089.97,204498.5,10.621
United States,City Centre,3,110,66,3096.72,4089.97,449896.7,8.1401
United States,Outside of Centre,1,50,66,1378.15,2527.41,126370.75,13.0849
United States,Outside of Centre,3,110,66,2215.98,2527.41,278015.65,9.8981
Uruguay,City Centre,1,50,1,737.29,3461.35,173067.5,5.1122
Uruguay,City Centre,3,110,1,1177.68,3461.35,380748.5,3.7117
Uruguay,Outside of Centre,1,50,1,584.54,1890.38,94519.0,7.4212
Uruguay,Outside of Centre,3,110,1,962.46,1890.38,207941.8,5.5542
Uzbekistan,City Centre,1,50,1,603.59,1651.21,82560.5,8.7731
Uzbekistan,City Centre,3,110,1,1194.8,1651.21,181633.1,7.8937
Uzbekistan,Outside of Centre,1,50,1,376.84,950.97,47548.5,9.5105
Uzbekistan,Outside of Centre,3,110,1,730.59,950.97,104606.7,8.381
Vietnam,City Centre,1,50,2,495.42,4693.68,234684.0,2.5265
Vietnam,City Centre,3,110,2,1061.42,4693.68,516304.8,2.4604
Vietnam,Outside of Centre,1,50,2,292.36,2342.87,117143.5,3.1383
Vietnam,Outside of Centre,3,110,2,628.62,2342.87,257715.7,3.1345
Zimbabwe,City Centre,1,50,1,405.56,926.21,46310.5,10.5089
Zimbabwe,City Centre,3,110,1,838.89,926.21,101883.1,9.8806
Zimbabwe,Outside of Centre,1,50,1,316.6,391.32,19566.0,19.4174
Zimbabwe,Outside of Centre,3,110,1,748.89,391.32,43045.2,20.8773
